question,answer,keywords
"What is the capital of France?","Paris","geography,europe,capital"
"What is 2 + 2?","4","math,arithmetic,addition"
"Who wrote Romeo and Juliet?","William Shakespeare","literature,english,playwright"
"What is the chemical symbol for water?","H2O","chemistry,science,molecule"
"What year did World War II end?","1945","history,war,dates"
"What is the largest planet in our solar system?","Jupiter","astronomy,science,planets"
"What is the speed of light?","299,792,458 m/s","physics,science,constant"
"Who painted the Mona Lisa?","Leonardo da Vinci","art,renaissance,painting"
"What is the powerhouse of the cell?","Mitochondria","biology,science,cell"
"What is the capital of Japan?","Tokyo","geography,asia,capital"
"What programming language is known for web development?","JavaScript","programming,web,coding"
"What does CPU stand for?","Central Processing Unit","computer,hardware,acronym"
"What is the boiling point of water at sea level?","100°C or 212°F","chemistry,science,temperature"
"Who developed the theory of relativity?","Albert Einstein","physics,science,theory"
"What is the largest ocean on Earth?","Pacific Ocean","geography,nature,water"



